region,year,month,milk_production(tons),meat_production(tons),milk_lag_1(tons),milk_lag_3(tons),milk_lag_6(tons),meat_lag_1(tons),meat_lag_3(tons),meat_lag_6,milk_mom_change(%),meat_mom_change,food_shock_risk,predicted_risk,risk_probability
Кызылординская,2024,11,"42493,9","32752,3","38085,4","29525,9","16551,3","29050,61","22394,64","13540,68","0,1157530182","0,1274221092",0,0,"0,04682202511"
Павлодарская,2024,11,"219624,6","97542,12","203504,6","164247,6","86460,3","85745,57","65875,09","34609,11","0,07921196867","0,1375762036",0,0,"0,00000009876098515"
Северо-Казахстанская,2024,11,"347175,7","66186,52","326758,8",262702,"128496,4","61041,23","45948,06","24303,65","0,0624830915","0,08429204326",0,0,0
Туркестанская,2024,11,"418468,2","197499,45","387707,6","318820,8",185712,"173721,49","128417,42","77328,11","0,07933968795","0,1368740275",0,0,0
Ұлытау,2024,11,"57364,3","21924,51",53588,"44090,4","20723,4","20520,56","15140,21","8818,91","0,07046913488","0,06841674886",0,0,"0,001363623604"
Восточно-Казахстанская,2024,11,"213584,7","138453,78","194190,9","153845,9","75103,6","123660,39","95914,54","54651,78","0,09986976733","0,1196291715",0,0,"0,0000000647895424"
г. Астана,2024,11,"177,5","62,63","170,9","141,1",73,"57,03","45,53","31,9","0,03861907548","0,09819393302",0,0,"0,4030671953"
г. Алматы,2024,11,"333,3","50,8","305,1","253,5","170,3","43,3",25,"17,6","0,0924287119","0,1732101617",0,0,"0,4200712429"
г. Шымкент,2024,11,"64152,8","7236,99","59008,6","47495,8","25363,5","6594,9","5568,58","3767,81","0,08717712333","0,0973615976",0,0,"0,01325895287"
Абай,2025,11,"297502,7","126001,4","275215,8","214510,4","99211,3","112464,63","84915,7","41264,38","0,08097972573","0,1203646871",0,0,"0,0000000001023898075"
Акмолинская,2025,11,"221412,3","186844,34","204878,9","163721,5","87008,7","168491,68","136382,4","88206,47","0,08069840281","0,1089232418",0,0,0
Актюбинская,2025,11,"169926,9","97250,71","157354,5","123705,7","53979,4","85663,41","68532,44","43478,61","0,07989857297","0,1352654535",0,0,"0,000001949244039"
Алматинская,2025,11,"290364,4","246527,49","265519,9","195730,1","98145,3","218519,26","163065,67","96683,32","0,0935692579","0,128172821",0,0,"0,000000000118064448"
Атырауская,2025,11,"29485,1","45434,95","27597,7","22828,7","12309,9","40072,49","30144,94","17941,59","0,06838975712","0,1338189865",0,0,"0,02044531666"
Западно-Казахстанская,2025,11,"204231,8","89827,31","194427,9","162831,8","73651,7","80768,6","63368,06","35483,24","0,05042434753","0,112156333",0,0,"0,0000000001998658189"
Жамбылская,2025,11,"211447,6","109029,34","196747,1","156281,6","78917,5","96056,36","75103,97","42420,99","0,07471774679","0,1350559193",0,0,"0,00000005134653492"
Жетісу,2025,11,"210518,1","91171,59","193699,6","147597,2","76550,9","79607,1","55438,58","29103,63","0,08682774771","0,1452695802",0,0,"0,000002989098425"
Карагандинская,2025,11,195520,"85939,55",182358,143483,"69498,9","76240,99","56535,47","28994,4","0,07217670736","0,1272092611",0,0,"0,0000001108778329"
Костанайская,2025,11,"214963,3","57289,59","205690,2",180178,"93004,3","53388,02","44568,81","30300,75","0,04508284789","0,0730795036",0,0,0
Кызылординская,2025,11,"43502,9","34181,03","39153,9","30485,6","16720,5","30221,67","23252,47","14009,08","0,1110745034","0,1310106291",0,0,"0,04271569966"
Павлодарская,2025,11,"237176,5","94439,11","220576,7","179658,2","95575,3","83368,87","63527,74","33994,92","0,07525636207","0,1327862546",0,0,"0,00000001062836738"
Северо-Казахстанская,2025,11,"357822,3","73876,92","334926,9","268044,1",132634,"68494,47","52146,71","27664,5","0,06835939424","0,07858225635",0,0,0
Туркестанская,2025,11,"449231,1","203611,66","427854,9","368780,3","222161,8","181641,49","122945,28","76584,91","0,04996133035","0,1209534782",0,0,0
Ұлытау,2025,11,"57418,2","21977,83","53657,3","44196,1","20923,4","20564,43","15166,33","8839,53","0,07009111528","0,06873032707",0,0,"0,001336518629"
Восточно-Казахстанская,2025,11,"235255,9","140410,35",213092,"173414,2",89015,"124863,64","95260,79","53314,51","0,1040109436","0,1245095049",0,0,"0,00000006825177261"
г. Астана,2025,11,"144,7","63,13","137,1","106,7","42,3","56,13","43,7","29,6","0,05543398979","0,1247104935",0,0,"0,4101662069"
г. Алматы,2025,11,"299,4","144,19","270,8","215,5","133,3","139,9","129,8",7,"0,1056129985","0,03066476054",0,0,"0,3997547042"
г. Шымкент,2025,11,64854,"6583,11","59881,8","49385,6","28440,2","5914,81","4819,66","3175,88","0,08303357615","0,1129875685",0,0,"0,0115654446"
